,imgName,transcription,sequence,size,trans_length
0,AAW_ARB_20070103.0087_3_LDC0014_00z7,waMaeAnaBheMaaEspfaMyaAspaaAnaBtaMhaMaaEraMspahAayBlaBaaEnaAspraMseMmaByaA,"[102, 5, 77, 48, 4, 89, 37, 105, 89, 3, 77, 94, 45, 4, 81, 89, 7, 16, 63, 4, 76, 89, 81, 86, 64, 105]","[683.0, 70]",26
1,AAW_ARB_20070103.0087_3_LDC0014_00z8,kaMbaMlaAspaeAnaAsptaBkaMdaMmaEspaaAlaBmaBzaEyaBdaMspmaBnaA,"[56, 20, 62, 89, 5, 76, 89, 92, 56, 27, 65, 89, 3, 63, 64, 108, 106, 27, 89, 64, 76]","[706.0, 70]",21
2,AAW_ARB_20070103.0087_3_LDC0014_00z9,aaAlaBtaMfaMaaEsaMyaBlaAspbaMshMaeEnaAspheMdhMheAspaaAlaBmaBfaMaaEwaMdeBaaEtaAspspdotAsp,"[3, 63, 94, 37, 4, 83, 106, 62, 89, 20, 88, 6, 76, 89, 48, 31, 46, 89, 3, 63, 64, 37, 4, 102, 30, 4, 91, 89, 89, 32, 89]","[948.0, 70]",31
3,AAW_ARB_20070104.0024_3_LDC0014_00z0,waMmaBmaBaaEspraMjaBhaEsptaBnaBfaMyaBdhMspaaAlaBaaEayBdaMaaAmaEspaaAlaByaBwaMmaE,"[102, 64, 64, 4, 89, 81, 53, 44, 89, 92, 77, 37, 106, 31, 89, 3, 63, 4, 16, 27, 3, 65, 89, 3, 63, 106, 102, 65]","[762.0, 70]",28
4,AAW_ARB_20070104.0024_3_LDC0014_00z1,heMwaMsptaBwaMjaBheEspmaBhaMaaEmaByaByaBnaAspmaBnaAspfaMraMyaBkaA,"[48, 102, 89, 92, 102, 53, 47, 89, 64, 45, 4, 64, 106, 106, 76, 89, 64, 76, 89, 37, 81, 106, 55]","[889.0, 70]",23
5,AAW_ARB_20070105.0006_3_LDC0002_00z1,keBaaEnaAspyaBhaMtaMfaMzhaEspbaMheMaaEspjaByaBfaMraMseMwaMnaAspheMyaAspnaBseMkhMteeE,"[58, 4, 76, 89, 106, 45, 94, 37, 110, 89, 20, 48, 4, 89, 53, 106, 37, 81, 86, 102, 76, 89, 48, 105, 89, 77, 86, 61, 96]","[963.0, 70]",29
6,AAW_ARB_20070105.0006_3_LDC0002_0z10,aeAlaByaBseMwaMnaAspaaAseMtaMkhMdaMmaEspmaBsaMhaMfaMaaEspnaBaaEdaMraMaaAsplaBlaBraMalByaBseA,"[5, 63, 106, 86, 102, 76, 89, 3, 86, 94, 61, 27, 65, 89, 64, 83, 45, 37, 4, 89, 77, 4, 27, 81, 3, 89, 63, 63, 81, 10, 106, 85]","[919.0, 70]",32
7,AAW_ARB_20070105.0006_3_LDC0002_0z11,jaByaBfaMraMseMwaMnaAspfaMyaAspaaAlaBkaMseMmaEspbaMaaElaBkeBwaMnaBghMraMseAspseMyaA,"[53, 106, 37, 81, 86, 102, 76, 89, 37, 105, 89, 3, 63, 56, 86, 65, 89, 20, 4, 63, 58, 102, 77, 42, 81, 85, 89, 86, 105]","[738.0, 70]",29
8,AAW_ARB_20070105.0006_3_LDC0002_0z12,ahAnaAspahAnaAsptaBayMtaMdhMraMspayBnaAspkhMlaBtoBheMaaE,"[7, 76, 89, 7, 76, 89, 92, 18, 94, 31, 81, 89, 16, 76, 89, 61, 63, 101, 48, 4]","[647.0, 70]",20
9,AAW_ARB_20070105.0006_3_LDC0002_0z13,baMyaBnaAspaeAwaMbaMaaEmaBaaEspwaMaeAseMaaEmaBteeEspfaMyaAspayBnaBaaEwaMyaBnaBheMaaE,"[20, 106, 76, 89, 5, 102, 20, 4, 64, 4, 89, 102, 5, 86, 4, 64, 96, 89, 37, 105, 89, 16, 77, 4, 102, 106, 77, 48, 4]","[842.0, 70]",29
10,AAW_ARB_20070105.0013_2_LDC0002_00z6,aaAlaBghMzaElaBaaEnaAspfaMyaAspjaBwaMraMjaByaBaaEspspcomAspspwaMtaBbaMyaBnaA,"[3, 63, 42, 108, 63, 4, 76, 89, 37, 105, 89, 53, 102, 81, 53, 106, 4, 89, 89, 25, 89, 89, 102, 92, 20, 106, 76]","[823.0, 70]",27
11,AAW_ARB_20070105.0013_2_LDC0002_00z7,aaAnaAspaaAlaBmaBraMdeAspaaAnaBtaMkaMlaAspaaAlaBeeEspheMdhMheA,"[3, 76, 89, 3, 63, 64, 81, 29, 89, 3, 77, 94, 56, 62, 89, 3, 63, 34, 89, 48, 31, 46]","[794.0, 70]",22
12,AAW_ARB_20070105.0013_2_LDC0002_00z8,aaAlaBghMzaElaBaaEnaAspwaMhaMheMraMspdhMlaBkeEspfaMyaAspayByaBnaBaaEtaA,"[3, 63, 42, 108, 63, 4, 76, 89, 102, 45, 48, 81, 89, 31, 63, 59, 89, 37, 105, 89, 16, 106, 77, 4, 91]","[862.0, 70]",25
13,AAW_ARB_20070105.0013_2_LDC0002_00z9,aaAlaBdaMmaEspwaMaaAlaBbaMwaMlaAspspcomAspspwaMhaMlaBtaEspaaAlaBghMzaElaBaaEnaA,"[3, 63, 27, 65, 89, 102, 3, 63, 20, 102, 62, 89, 89, 25, 89, 89, 102, 45, 63, 93, 89, 3, 63, 42, 108, 63, 4, 76]","[879.0, 70]",28
14,AAW_ARB_20070105.0013_4_LDC0012_00z3,heMlaBaaEkeBheEspspcomAspsplaBaaEnaBheEsplaBaaEspyaBmaBkeBnaA,"[48, 63, 4, 58, 47, 89, 89, 25, 89, 89, 63, 4, 77, 47, 89, 63, 4, 89, 106, 64, 58, 76]","[481.0, 70]",22
15,AAW_ARB_20070105.0013_4_LDC0012_00z4,maBayMaaElaBjaBteeEspaaAlaBmaBraMdeAspbaMseMbaMbaEsptoBbaMyaBayMteeEspaaAlaBhaMyaBaaEteA,"[64, 18, 4, 63, 53, 96, 89, 3, 63, 64, 81, 29, 89, 20, 86, 20, 19, 89, 101, 20, 106, 18, 96, 89, 3, 63, 45, 106, 4, 95]","[611.0, 70]",30
16,AAW_ARB_20070105.0013_4_LDC0012_00z5,aaAlaBbaMraMyaBteeEspnaBfaMseMheMaaEspspcomAspspwaMaaAnaAspaaAlaBhaMlaA,"[3, 63, 20, 81, 106, 96, 89, 77, 37, 86, 48, 4, 89, 89, 25, 89, 89, 102, 3, 76, 89, 3, 63, 45, 62]","[539.0, 70]",25
17,AAW_ARB_20070105.0013_4_LDC0012_00z6,aaAlaBwaMhaMyaBdaMspheMwaMspaaAbaMkaMaaEhhAspaaAlaBghMzaElaBaaEnaAspaaAlaBmaBraMyaBdeBteeE,"[3, 63, 102, 45, 106, 27, 89, 48, 102, 89, 3, 20, 56, 4, 49, 89, 3, 63, 42, 108, 63, 4, 76, 89, 3, 63, 64, 81, 106, 30, 96]","[592.0, 70]",31
18,AAW_ARB_20070105.0013_4_LDC0012_00z7,faMyaAsphaMhaMaaEalBraMspkhMaaEsaMteeEspspcomAspspwaMheMwaM,"[37, 105, 89, 45, 45, 4, 10, 81, 89, 61, 4, 83, 96, 89, 89, 25, 89, 89, 102, 48, 102]","[509.0, 70]",21
19,AAW_ARB_20070105.0013_4_LDC0012_00z8,aeAmaBraMspsaMayMbaEsplaBhaMyaBwaMaaAnaBaaEtaAspmaBaaEsptaBzaEaaAlaA,"[5, 64, 81, 89, 83, 18, 19, 89, 63, 45, 106, 102, 3, 77, 4, 91, 89, 64, 4, 89, 92, 108, 3, 62]","[482.0, 70]",24
20,AAW_ARB_20070105.0013_4_LDC0012_00z9,taBayMyaBshAsphaMyaBaaEteAspbaMraMyaBteeEspspcomAspspwaMsaMayMbaE,"[92, 18, 106, 87, 89, 45, 106, 4, 95, 89, 20, 81, 106, 96, 89, 89, 25, 89, 89, 102, 83, 18, 19]","[597.0, 70]",23
21,AAW_ARB_20070105.0017_3_LDC0012_00z0,waMaeAdeBaaEfaEspspcolAspspspspspspnaBraMyaBdaMspnaBtaMaaEalBjaE,"[102, 5, 30, 4, 36, 89, 89, 24, 89, 89, 89, 89, 89, 89, 77, 81, 106, 27, 89, 77, 94, 4, 10, 54]","[526.0, 70]",24
22,AAW_ARB_20070105.0017_3_LDC0012_00z1,maBlaBmaBwaMseMteeEspspcomAspspaaAdhMaaAspkeBaaEnaBtaEsptaBraMkeByaBaaEspwaMaaAlaBwaMlaBaaEyaBaaEtaA,"[64, 63, 64, 102, 86, 96, 89, 89, 25, 89, 89, 3, 31, 3, 89, 58, 4, 77, 93, 89, 92, 81, 58, 106, 4, 89, 102, 3, 63, 102, 63, 4, 106, 4, 91]","[747.0, 70]",35
23,AAW_ARB_20070105.0017_3_LDC0012_00z2,aaAlaBmaBtaMhaMdaMteAspshMraMyaBkeBtaMyaBnaAspaaAseMtaMraMaaAtaByaBjaByaBtaMyaBnaAspspcomAspspfaMayMlaByaBheMmaBaaEspaaAnaA,"[3, 63, 64, 94, 45, 27, 95, 89, 88, 81, 106, 58, 94, 106, 76, 89, 3, 86, 94, 81, 3, 92, 106, 53, 106, 94, 106, 76, 89, 89, 25, 89, 89, 37, 18, 63, 106, 48, 64, 4, 89, 3, 76]","[866.0, 70]",43
24,AAW_ARB_20070105.0017_3_LDC0012_00z3,taBkeBaaEfaMhaMaaEspmaBayMaaEspaaAlaBmaBnaBhaMmaBaaEtaAspaaAlaBaaEraMheMaaEbaMyaBteeEspspspspspspdotAsp,"[92, 58, 4, 37, 45, 4, 89, 64, 18, 4, 89, 3, 63, 64, 77, 45, 64, 4, 91, 89, 3, 63, 4, 81, 48, 4, 20, 106, 96, 89, 89, 89, 89, 89, 89, 32, 89]","[798.0, 70]",37
25,AAW_ARB_20070105.0068_1_LDC0002_00z0,daMbaMyaAspspraMwaMyaBtaMraMzaAspspcolAspspkaMaaElaBtaE,"[27, 20, 105, 89, 89, 81, 102, 106, 94, 81, 107, 89, 89, 24, 89, 89, 56, 4, 63, 93]","[650.0, 70]",20
26,AAW_ARB_20070105.0068_1_LDC0002_00z1,shMraMkeBteeEspspspspspmaBwaMaaAnaBalEspdaMbaMyaAspaaAlaBayMaaElaBmaByaBteeEspspspsp,"[88, 81, 58, 96, 89, 89, 89, 89, 89, 64, 102, 3, 77, 11, 89, 27, 20, 105, 89, 3, 63, 18, 4, 63, 64, 106, 96, 89, 89, 89, 89]","[893.0, 70]",31
27,AAW_ARB_20070105.0068_1_LDC0002_0z10,waMhaMdaMtaByaBnaAspaeAseMtaMraMaaAlaByaBtaMyaBnaA,"[102, 45, 27, 92, 106, 76, 89, 5, 86, 94, 81, 3, 63, 106, 94, 106, 76]","[570.0, 70]",17
28,AAW_ARB_20070105.0068_1_LDC0002_0z11,waMaeAdeBaaEfaMtaEspaeAnaAspaaAdaMaaAraMteAspspspspspmaBwaMaaAnaBalE,"[102, 5, 30, 4, 37, 93, 89, 5, 76, 89, 3, 27, 3, 81, 95, 89, 89, 89, 89, 89, 64, 102, 3, 77, 11]","[780.0, 70]",25
29,AAW_ARB_20070105.0068_1_LDC0002_0z12,daMbaMyaAspaaAlaBayMaaElaBmaByaBteeEspspspspspwaMspspspspspaaAlaBkeBwaMnaBseMwaMraMtaByaBwaMmaEspspspsp,"[27, 20, 105, 89, 3, 63, 18, 4, 63, 64, 106, 96, 89, 89, 89, 89, 89, 102, 89, 89, 89, 89, 89, 3, 63, 58, 102, 77, 86, 102, 81, 92, 106, 102, 65, 89, 89, 89, 89]","[588.0, 70]",39
30,AAW_ARB_20070105.0068_1_LDC0002_0z13,taBayMmaBlaBaaEnaAspmaBayMaaEsplaBaaEseMtaMkeBmaBaaElaAspjaBmaByaBayEspaaAlaBaaEjaBraMaaAhhAaaAtaAspaaAlaBayMaaElaBkaMteeE,"[92, 18, 64, 63, 4, 76, 89, 64, 18, 4, 89, 63, 4, 86, 94, 58, 64, 4, 62, 89, 53, 64, 106, 17, 89, 3, 63, 4, 53, 81, 3, 49, 3, 91, 89, 3, 63, 18, 4, 63, 56, 96]","[763.0, 70]",42
31,AAW_ARB_20070111.0110_5_LDC0701_0z17,seMtaMnaBtoBlaBkaAspkhMlaBaaElaAspaaAlaBayMaaEmaEspaaAlaBhaMaaElaByaAspspdotAsp,"[86, 94, 77, 101, 63, 55, 89, 61, 63, 4, 62, 89, 3, 63, 18, 4, 65, 89, 3, 63, 45, 4, 63, 105, 89, 89, 32, 89]","[615.0, 70]",28
32,AAW_ARB_20070111.0110_5_LDC0701_00z2,faMyaAspaaAlaBmaBayMheMdaMspaaAlaBseMayMwaMdaMyaAspaaAlaByaBaaEbaMaaEnaByaAsplaBlaBseMyaBaaEraMaaAtaAspwaMaaAlaBtaMhaMkaMwaMaaA,"[37, 105, 89, 3, 63, 64, 18, 48, 27, 89, 3, 63, 86, 18, 102, 27, 105, 89, 3, 63, 106, 4, 20, 4, 77, 105, 89, 63, 63, 86, 106, 4, 81, 3, 91, 89, 102, 3, 63, 94, 45, 56, 102, 3]","[1290.0, 70]",44
33,AAW_ARB_20070111.0110_5_LDC0701_00z3,baMwaMhaMaaEalBfaMheMmaEspfaMyaAspshMraMkeBteeEspayBbaMdaMspaaAlaBlaBtoByaBfaEspfaMyaA,"[20, 102, 45, 4, 10, 37, 48, 65, 89, 37, 105, 89, 88, 81, 58, 96, 89, 16, 20, 27, 89, 3, 63, 63, 101, 106, 36, 89, 37, 105]","[727.0, 70]",30
34,AAW_ARB_20070111.0110_5_LDC0701_00z4,aaAlaBayMaaEmaEspaaAlaBmaBaaEdeByaAspspcomAspspkeBmaBaaEsptaBmaEsptaBdaMraMyaBbaE,"[3, 63, 18, 4, 65, 89, 3, 63, 64, 4, 30, 105, 89, 89, 25, 89, 89, 58, 64, 4, 89, 92, 65, 89, 92, 27, 81, 106, 19]","[600.0, 70]",29
35,AAW_ARB_20070111.0110_5_LDC0701_00z5,n6AspfaMtaMyaBaaEtaAspfaMyaAspaaAlaBmaBayMheMdaMspaaAlaBseMayMwaMdaMyaA,"[72, 89, 37, 94, 106, 4, 91, 89, 37, 105, 89, 3, 63, 64, 18, 48, 27, 89, 3, 63, 86, 18, 102, 27, 105]","[767.0, 70]",25
36,AAW_ARB_20070111.0110_5_LDC0701_00z6,laBlaBkhMdaMmaBaaEtaAspaaAlaBsaMhaMyaBteeEsplaByaBsaMbaMhaEspahAjaBmaBaaElaByaAspfaMraMsaA,"[63, 63, 61, 27, 64, 4, 91, 89, 3, 63, 83, 45, 106, 96, 89, 63, 106, 83, 20, 44, 89, 7, 53, 64, 4, 63, 105, 89, 37, 81, 82]","[788.0, 70]",31
37,AAW_ARB_20070111.0110_5_LDC0701_00z7,aaAlaBayMmaBlaAspmaBnaAspkhMlaBaaElaAspsaMnaBdaMwaMkaAspayBbaMdaM,"[3, 63, 18, 64, 62, 89, 64, 76, 89, 61, 63, 4, 62, 89, 83, 77, 27, 102, 55, 89, 16, 20, 27]","[870.0, 70]",23
38,AAW_ARB_20070111.0110_5_LDC0701_00z8,aaAlaBlaBtoByaBfaEspjaBmaByaBlaAsplaBlaBtaMaeEheMyaBlaAspaaAlaBmaBheMnaByaAspwaMaaAlaBhaMraMfaMyaA,"[3, 63, 63, 101, 106, 36, 89, 53, 64, 106, 62, 89, 63, 63, 94, 6, 48, 106, 62, 89, 3, 63, 64, 48, 77, 105, 89, 102, 3, 63, 45, 81, 37, 105]","[841.0, 70]",34
39,AAW_ARB_20070111.0110_5_LDC0701_00z9,khMlaBaaElaAspaaAlaBayMaaEmaEspaaAlaBmaBaaEdeByaAspaeAkeBthMraMspmaBnaA,"[61, 63, 4, 62, 89, 3, 63, 18, 4, 65, 89, 3, 63, 64, 4, 30, 105, 89, 5, 58, 100, 81, 89, 64, 76]","[555.0, 70]",25
40,AAW_ARB_20070111.0141_2_LDC0050_0z16,maBlaByaBaaEraMspdaMwaMlaBaaEraMspfaMyaAspsaMnaBaaEdaMyaBkaAspaaAlaBtaMdhMaaAkeBraM,"[64, 63, 106, 4, 81, 89, 27, 102, 63, 4, 81, 89, 37, 105, 89, 83, 77, 4, 27, 106, 55, 89, 3, 63, 94, 31, 3, 58, 81]","[531.0, 70]",29
41,AAW_ARB_20070111.0141_2_LDC0050_0z17,faMyaAspmaBkhMtaMlaBfaEspaeAnaBhaMaaEhhAspaaAlaBayMaaElaBmaEspspdotAsp,"[37, 105, 89, 64, 61, 94, 63, 36, 89, 5, 77, 45, 4, 49, 89, 3, 63, 18, 4, 63, 65, 89, 89, 32, 89]","[392.0, 70]",25
42,AAW_ARB_20070111.0141_2_LDC0050_00z2,aaAlaBbaMlaBdaMyaBaaEtaAspaaAlaBaeEraMdaMnaByaAspspcomAspspsaMaaEdaMkaAspayBlaBeeEspmaBwaMaaAzaAnaBteeE,"[3, 63, 20, 63, 27, 106, 4, 91, 89, 3, 63, 6, 81, 27, 77, 105, 89, 89, 25, 89, 89, 83, 4, 27, 55, 89, 16, 63, 34, 89, 64, 102, 3, 107, 77, 96]","[717.0, 70]",36
43,AAW_ARB_20070111.0141_2_LDC0050_00z3,baMlaBdaMyaBteeEsptoBlaBaaElaAspaaAlaBjaBdaMyaBdaMteAspfaMyaAspkaMdeBaaEhhAspaaAlaBmaBwaMjaBbaEspspcomAsp,"[20, 63, 27, 106, 96, 89, 101, 63, 4, 62, 89, 3, 63, 53, 27, 106, 27, 95, 89, 37, 105, 89, 56, 30, 4, 49, 89, 3, 63, 64, 102, 53, 19, 89, 89, 25, 89]","[637.0, 70]",37
44,AAW_ARB_20070111.0141_2_LDC0050_00z4,jaBnaBwaMbaEspaaAlaBaaEraMdaMnaAsplaBlaBayMaaEmaEspaaAlaBhaMaaElaByaAspspcomAspspaaAlaBtaMyaA,"[53, 77, 102, 19, 89, 3, 63, 4, 81, 27, 76, 89, 63, 63, 18, 4, 65, 89, 3, 63, 45, 4, 63, 105, 89, 89, 25, 89, 89, 3, 63, 94, 105]","[629.0, 70]",33
45,AAW_ARB_20070111.0141_2_LDC0050_00z5,taBtaMdeBmaBnaAspaaAseMtaMkeBmaBaaElaAspmaBshMraMwaMayAspaaAlaBmaBkeBtaMbaMteeEspaaAlaBayMaaEmaBteeE,"[92, 94, 30, 64, 76, 89, 3, 86, 94, 58, 64, 4, 62, 89, 64, 88, 81, 102, 15, 89, 3, 63, 64, 58, 94, 20, 96, 89, 3, 63, 18, 4, 64, 96]","[586.0, 70]",34
46,AAW_ARB_20070111.0141_2_LDC0050_00z6,faMyaAspmaBnaBtoBkaMteeEspaaAlaBjaBdaMayBaaEspwaMtaBhaMseMyaBnaAspmaBdaMaaAkhMlaA,"[37, 105, 89, 64, 77, 101, 56, 96, 89, 3, 63, 53, 27, 16, 4, 89, 102, 92, 45, 86, 106, 76, 89, 64, 27, 3, 61, 62]","[541.0, 70]",28
47,AAW_ARB_20070111.0141_2_LDC0050_00z7,maBnaBaaEtoBkaAspaaAlaBbaMlaBdaMyaBteeEspwaMfaMtaMhaEspwaMtaBayMbaMyaBdaMspaaAlaBayMdaMyaBdaM,"[64, 77, 4, 101, 55, 89, 3, 63, 20, 63, 27, 106, 96, 89, 102, 37, 94, 44, 89, 102, 92, 18, 20, 106, 27, 89, 3, 63, 18, 27, 106, 27]","[619.0, 70]",32
48,AAW_ARB_20070111.0141_2_LDC0050_00z8,maBnaAspaaAlaBshMwaMaaAraMayAspfaMyaAspmaBnaBtoBkaMteeEspsaMraMfaMaaE,"[64, 76, 89, 3, 63, 88, 102, 3, 81, 15, 89, 37, 105, 89, 64, 77, 101, 56, 96, 89, 83, 81, 37, 4]","[554.0, 70]",24
49,AAW_ARB_20070111.0141_2_LDC0050_00z9,waMaaAlaBjaBdaMayBaaEspwaMaaAmaBraMayAspwaMsaMyaBaaEnaBteeEspwaMhaMdaMaaAtaAspaaAlaBaaEnaBaaEraMteA,"[102, 3, 63, 53, 27, 16, 4, 89, 102, 3, 64, 81, 15, 89, 102, 83, 106, 4, 77, 96, 89, 102, 45, 27, 3, 91, 89, 3, 63, 4, 77, 4, 81, 95]","[688.0, 70]",34
50,AAW_ARB_20070111.0141_9_LDC0050_00z1,waMseMyaBbaMdaMaeAspjaByaBmaBseAspfaMyaAspaaAlaBayMmaBlaAspbaMfaMyaBlaBmaE,"[102, 86, 106, 20, 27, 5, 89, 53, 106, 64, 85, 89, 37, 105, 89, 3, 63, 18, 64, 62, 89, 20, 37, 106, 63, 65]","[642.0, 70]",26
51,AAW_ARB_20070111.0141_9_LDC0050_0z10,waMdhMlaBkeEspkhMlaBaaElaAspzaAyaBaaEraMteAspshMraMfaEspaaAlaBwaMfaMdaM,"[102, 31, 63, 59, 89, 61, 63, 4, 62, 89, 107, 106, 4, 81, 95, 89, 88, 81, 36, 89, 3, 63, 102, 37, 27]","[747.0, 70]",25
52,AAW_ARB_20070111.0141_9_LDC0050_0z11,aeAkhMyaBraMaaAspahAlaBeeEspdaMmaBshMkaAspspdotAsp,"[5, 61, 106, 81, 3, 89, 7, 63, 34, 89, 27, 64, 88, 55, 89, 89, 32, 89]","[413.0, 70]",18
53,AAW_ARB_20070111.0141_9_LDC0050_0z12,waMyaBkaMdaMmaEspfaMraMyaBmaBaaEnaAspmaBayMzaEwaMfaMaaEtaAspmaBnaAspaaAayBmaBaaElaBheE,"[102, 106, 56, 27, 65, 89, 37, 81, 106, 64, 4, 76, 89, 64, 18, 108, 102, 37, 4, 91, 89, 64, 76, 89, 3, 16, 64, 4, 63, 47]","[693.0, 70]",30
54,AAW_ARB_20070111.0141_9_LDC0050_0z13,baMaaElaBaaEshMtaMraMaaAkeAspmaBayEspayBaaEzaAfaEspaaAlaBjaBaaEzaAspbaMyaBtaMraMspkeByaBnaBjaEspspdotAsp,"[20, 4, 63, 4, 88, 94, 81, 3, 57, 89, 64, 17, 89, 16, 4, 107, 36, 89, 3, 63, 53, 4, 107, 89, 20, 106, 94, 81, 89, 58, 106, 77, 54, 89, 89, 32, 89]","[562.0, 70]",37
55,AAW_ARB_20070111.0141_9_LDC0050_0z14,waMtaBdeBmaBnaAspjaBdaMwaMlaAspaaAayBmaBaaElaAspaaAlaBdaMwaMraMteAspmaBjaBmaBwaMayBteeE,"[102, 92, 30, 64, 76, 89, 53, 27, 102, 62, 89, 3, 16, 64, 4, 62, 89, 3, 63, 27, 102, 81, 95, 89, 64, 53, 64, 102, 16, 96]","[707.0, 70]",30
56,AAW_ARB_20070111.0141_9_LDC0050_0z15,maBnaAspaaAlaBmaBwaMdeBwaMayBaaEtaAspaaAlaBmaBtaMayMlaBkaMteeEspbaMaaElaBayMmaBlaAspaaAlaBayMraMbaMyaAspaaAlaBmaBshMtaMraMkeA,"[64, 76, 89, 3, 63, 64, 102, 30, 102, 16, 4, 91, 89, 3, 63, 64, 94, 18, 63, 56, 96, 89, 20, 4, 63, 18, 64, 62, 89, 3, 63, 18, 81, 20, 105, 89, 3, 63, 64, 88, 94, 81, 57]","[757.0, 70]",43
57,AAW_ARB_20070111.0141_9_LDC0050_0z16,faMyaAspmaBjaBaaElaBaaEtaAspaaAlaBaaEtaBsaMaaElaBaaEtaAspaaAlaBmaBkhMtaMlaBfaMteeEspspdotAsp,"[37, 105, 89, 64, 53, 4, 63, 4, 91, 89, 3, 63, 4, 92, 83, 4, 63, 4, 91, 89, 3, 63, 64, 61, 94, 63, 37, 96, 89, 89, 32, 89]","[633.0, 70]",32
