,imgName,transcription,sequence,size,trans_length
58,AAW_ARB_20070111.0141_9_LDC0050_00z2,spspspspaeAfaMaaEtaBaaEraMspspspspspwaMheMwaMspmaBnaAspaaAlaBkhMyaBaaElaA,"[89, 89, 89, 89, 5, 37, 4, 92, 4, 81, 89, 89, 89, 89, 89, 102, 48, 102, 89, 64, 76, 89, 3, 63, 61, 106, 4, 62]","[627.0, 70]",28
59,AAW_ARB_20070111.0141_9_LDC0050_00z3,aaAlaBayMlaBmaByaAspfaMyaAspnaByaBseMaaEnaAspspbroAspspahAbaMraMyaBlaAspspbrcAsp,"[3, 63, 18, 63, 64, 105, 89, 37, 105, 89, 77, 106, 86, 4, 76, 89, 89, 22, 89, 89, 7, 20, 81, 106, 62, 89, 89, 21, 89]","[469.0, 70]",29
60,AAW_ARB_20070111.0141_9_LDC0050_00z4,ayBlaBeeEspaeAnaAspyaBtaMmaEspayBraMdeBheEspfaMyaAspdaMwaMraM,"[16, 63, 34, 89, 5, 76, 89, 106, 94, 65, 89, 16, 81, 30, 47, 89, 37, 105, 89, 27, 102, 81]","[569.0, 70]",22
61,AAW_ARB_20070111.0141_9_LDC0050_00z5,aaAlaBseMyaBnaBmaBaaEspfaMyaAspsaMyaBfaEspn2An0An0An9AspspdotAsp,"[3, 63, 86, 106, 77, 64, 4, 89, 37, 105, 89, 83, 106, 36, 89, 68, 66, 66, 75, 89, 89, 32, 89]","[463.0, 70]",23
62,AAW_ARB_20070111.0141_9_LDC0050_00z6,supAspsaMaaEalBbaEspnaBhaMaaEseAspspcomAsp,"[90, 89, 83, 4, 10, 19, 89, 77, 45, 4, 85, 89, 89, 25, 89]","[387.0, 70]",15
63,AAW_ARB_20070111.0141_9_LDC0050_00z7,raMjaBlaAspaaAlaBaeEayBmaBaaElaAspaaAlaBseMwaMraMyaAspspcomAspspaeAkaMaaEmaE,"[81, 53, 62, 89, 3, 63, 6, 16, 64, 4, 62, 89, 3, 63, 86, 102, 81, 105, 89, 89, 25, 89, 89, 5, 56, 4, 65]","[573.0, 70]",27
64,AAW_ARB_20070111.0141_9_LDC0050_00z8,maBaeEdaMbaMteeEspghBdaMaaAhhAspfaMyaAspaaAlaBkaMnaBsaMlaByaBteeEspaaAlaBfaMkhMraMyaBteeE,"[64, 6, 27, 20, 96, 89, 40, 27, 3, 49, 89, 37, 105, 89, 3, 63, 56, 77, 83, 63, 106, 96, 89, 3, 63, 37, 61, 81, 106, 96]","[675.0, 70]",30
65,AAW_ARB_20070111.0141_9_LDC0050_00z9,aaAlaBmaBkeBseMyaBkeByaBteeEspayBlaBeeEspaaAlaBwaMfaMdaMspaaAlaBbaMraMlaBmaBaaEnaByaAspaaAlaBbaMraMyaBtoBaaEnaByaAspspcomAsp,"[3, 63, 64, 58, 86, 106, 58, 106, 96, 89, 16, 63, 34, 89, 3, 63, 102, 37, 27, 89, 3, 63, 20, 81, 63, 64, 4, 77, 105, 89, 3, 63, 20, 81, 106, 101, 4, 77, 105, 89, 89, 25, 89]","[645.0, 70]",43
66,AAW_ARB_20070111.0114_6_LDC0050_00z1,aeAkaMfaMlaBtaEspsaMbaMaaEhaAspaeAmaBseAspsaMaaElaBteeEspmaBghMaaEdaMraMteAspaaAlaBraMkeBaaEbaE,"[5, 56, 37, 63, 93, 89, 83, 20, 4, 43, 89, 5, 64, 85, 89, 83, 4, 63, 96, 89, 64, 42, 4, 27, 81, 95, 89, 3, 63, 81, 58, 4, 19]","[670.0, 70]",33
67,AAW_ARB_20070111.0114_6_LDC0050_0z10,waMkaMaaElaAspmaBkhMaaElaBfaMwaMnaAsplaBnaBhaMaaEmaEspaaAlaBahEkaMaaEmaBteeEspmaBmaBnaA,"[102, 56, 4, 62, 89, 64, 61, 4, 63, 37, 102, 76, 89, 63, 77, 45, 4, 65, 89, 3, 63, 8, 56, 4, 64, 96, 89, 64, 64, 76]","[783.0, 70]",30
68,AAW_ARB_20070111.0114_6_LDC0050_0z11,taBwaMaaAjaBdaMwaMaaAspaeAmaBseAspaeAmaBaaEmaEspbaMwaMaaAbaMteeEspsaMaaElaBteeE,"[92, 102, 3, 53, 27, 102, 3, 89, 5, 64, 85, 89, 5, 64, 4, 65, 89, 20, 102, 3, 20, 96, 89, 83, 4, 63, 96]","[729.0, 70]",27
69,AAW_ARB_20070111.0114_6_LDC0050_0z12,aaAlaBmaBghMaaEdaMraMteAspfaMyaAspmaByaBnaBaaEhhAspjaBdaMteAspaaAlaBahEseMlaBaaEmaByaAspspcolAsp,"[3, 63, 64, 42, 4, 27, 81, 95, 89, 37, 105, 89, 64, 106, 77, 4, 49, 89, 53, 27, 95, 89, 3, 63, 8, 86, 63, 4, 64, 105, 89, 89, 24, 89]","[672.0, 70]",34
70,AAW_ARB_20070111.0114_6_LDC0050_0z13,ahAnaBheMmaEsplaBmaEspyaBtaMmaBkeBnaBwaMaaAspmaBnaAspdaMfaMayE,"[7, 77, 48, 65, 89, 63, 65, 89, 106, 94, 64, 58, 77, 102, 3, 89, 64, 76, 89, 27, 37, 17]","[359.0, 70]",22
71,AAW_ARB_20070111.0114_6_LDC0050_0z14,aaAlaBraMseMwaMmaEspaaAlaBmaBkaMraMraMteAsplaBmaBkhMaaElaBfaMtaMheMmaEspaaAlaBaeEnaBhaMmaBteeEsphaMtaMeeE,"[3, 63, 81, 86, 102, 65, 89, 3, 63, 64, 56, 81, 81, 95, 89, 63, 64, 61, 4, 63, 37, 94, 48, 65, 89, 3, 63, 6, 77, 45, 64, 96, 89, 45, 94, 34]","[617.0, 70]",36
72,AAW_ARB_20070111.0114_6_LDC0050_0z15,yaBtaMseMnaBeeEsplaBheMmaEspaaAlaBseMfaMraMspwaMdhMwaMyaBheMmaEspwaMaeAnaA,"[106, 94, 86, 77, 34, 89, 63, 48, 65, 89, 3, 63, 86, 37, 81, 89, 102, 31, 102, 106, 48, 65, 89, 102, 5, 76]","[536.0, 70]",26
73,AAW_ARB_20070113.0017_3_LDC0701_00z1,waMkaMaaElaBwaMaaAspahAnaAspdhMwaMyaAspaaAlaBmaBhaMtaMjaBzaEyaBnaAspyaBkaMtoBayMwaMnaA,"[102, 56, 4, 63, 102, 3, 89, 7, 76, 89, 31, 102, 105, 89, 3, 63, 64, 45, 94, 53, 108, 106, 76, 89, 106, 56, 101, 18, 102, 76]","[920.0, 70]",30
74,AAW_ARB_20070113.0017_3_LDC0701_0z10,aaAlaBhaMraMaaAseAspaaAlaBaeEmaByaBraMkeByaByaBnaAspspspspspmaBthMlaAspaaAlaBaaEdaMayBaaEhhA,"[3, 63, 45, 81, 3, 85, 89, 3, 63, 6, 64, 106, 81, 58, 106, 106, 76, 89, 89, 89, 89, 89, 64, 100, 62, 89, 3, 63, 4, 27, 16, 4, 49]","[1054.0, 70]",33
75,AAW_ARB_20070113.0017_3_LDC0701_0z11,baMaeEnaAspbaMtoBaaEkaMteeEspaaAlaBaeEhaMwaMaaAlaAspaaAlaBmaBdaMnaByaBteeEspmaBzaEwaMraMteA,"[20, 6, 76, 89, 20, 101, 4, 56, 96, 89, 3, 63, 6, 45, 102, 3, 62, 89, 3, 63, 64, 27, 77, 106, 96, 89, 64, 108, 102, 81, 95]","[946.0, 70]",31
76,AAW_ARB_20070113.0017_3_LDC0701_0z12,aeAwaMspahAnaAspaaAlaBsaMwaMraMspfaMyaAspaaAlaBwaMthBaaEalBkaA,"[5, 102, 89, 7, 76, 89, 3, 63, 83, 102, 81, 89, 37, 105, 89, 3, 63, 102, 98, 4, 10, 55]","[810.0, 70]",22
77,AAW_ARB_20070113.0017_3_LDC0701_0z13,laBaaEsptaBshMbaMheEspshMkeBlaAspaaAlaBmaBraMaaAjaBayEspspdotAsp,"[63, 4, 89, 92, 88, 20, 47, 89, 88, 58, 62, 89, 3, 63, 64, 81, 3, 53, 17, 89, 89, 32, 89]","[513.0, 70]",23
78,AAW_ARB_20070113.0017_3_LDC0701_0z14,waMkaMaaElaAspamAkhMraMspahAnaAspaeAhaMdaM,"[102, 56, 4, 62, 89, 13, 61, 81, 89, 7, 76, 89, 5, 45, 27]","[615.0, 70]",15
79,AAW_ARB_20070113.0017_3_LDC0701_0z15,haMraMaaAseAspaaAlaBseMjaBnaAspaeAayBaaEdaMspaeAwaMraMaaAkaMaaEspkeBtaMbaE,"[45, 81, 3, 85, 89, 3, 63, 86, 53, 76, 89, 5, 16, 4, 27, 89, 5, 102, 81, 3, 56, 4, 89, 58, 94, 19]","[777.0, 70]",26
80,AAW_ARB_20070113.0017_3_LDC0701_0z16,ayBlaByaBheMaaEspaeAbaMyaBaaEtaAspshMayMraMspahAlaBeeEspseMjaByaBnaA,"[16, 63, 106, 48, 4, 89, 5, 20, 106, 4, 91, 89, 88, 18, 81, 89, 7, 63, 34, 89, 86, 53, 106, 76]","[773.0, 70]",24
81,AAW_ARB_20070113.0017_3_LDC0701_0z17,baMayMdaMspahAnaAsptoBlaBbaMtaEspmaBnaBheEspahAdaMaaAraMteA,"[20, 18, 27, 89, 7, 76, 89, 101, 63, 20, 93, 89, 64, 77, 47, 89, 7, 27, 3, 81, 95]","[835.0, 70]",21
82,AAW_ARB_20070113.0017_3_LDC0701_0z18,aaAlaBseMjaBnaAspmaBsaMaaEdaMraMteAspkeBlaAspaaAlaBaeEwaMraMaaAkaAspspdotAsp,"[3, 63, 86, 53, 76, 89, 64, 83, 4, 27, 81, 95, 89, 58, 62, 89, 3, 63, 6, 102, 81, 3, 55, 89, 89, 32, 89]","[955.0, 70]",27
83,AAW_ARB_20070113.0017_3_LDC0701_00z2,maBalMaaEtaAspaaAlaBkeByaBlaBwaMmaBtaMraMaaAtaAspspspspspwaMheMyaAspaaAlaBmaBseMaaEfaMteeE,"[64, 12, 4, 91, 89, 3, 63, 58, 106, 63, 102, 64, 94, 81, 3, 91, 89, 89, 89, 89, 89, 102, 48, 105, 89, 3, 63, 64, 86, 4, 37, 96]","[994.0, 70]",32
84,AAW_ARB_20070113.0017_3_LDC0701_00z3,baMyaBnaAspaaAlaBmaBhaMaaEfaMhaMaaEtaAspaaAlaBbaMayMyaBdaMteAspmaBnaAspaaAlaBbaMsaMraMteA,"[20, 106, 76, 89, 3, 63, 64, 45, 4, 37, 45, 4, 91, 89, 3, 63, 20, 18, 106, 27, 95, 89, 64, 76, 89, 3, 63, 20, 83, 81, 95]","[1043.0, 70]",31
85,AAW_ARB_20070113.0017_3_LDC0701_00z4,waMmaBnaBheMmaEspyaBfaMdeBlaAspaaAlaBmaBbaMyaBtaEspfaMyaAspfaMnaBaaEdaMkaA,"[102, 64, 77, 48, 65, 89, 106, 37, 30, 62, 89, 3, 63, 64, 20, 106, 93, 89, 37, 105, 89, 37, 77, 4, 27, 55]","[746.0, 70]",26
86,AAW_ARB_20070113.0017_3_LDC0701_00z5,aaAlaBzaEbaMyaBraMspaaAlaBraMthBteeEspaaAlaBkaMraMyaBbaMteeEspmaBnaAspaeAmaE,"[3, 63, 108, 20, 106, 81, 89, 3, 63, 81, 98, 96, 89, 3, 63, 56, 81, 106, 20, 96, 89, 64, 76, 89, 5, 65]","[577.0, 70]",26
87,AAW_ARB_20070116.0018_5_LDC0710_00z4,waMtaBbaMayMyaBtaMheMaaEsplaBraMghBbaMaaEtaAspaaAlaBseMlaBtoBteeEspaaAlaBmaBtoBlaBkaMteeEspspdotAsp,"[102, 92, 20, 18, 106, 94, 48, 4, 89, 63, 81, 40, 20, 4, 91, 89, 3, 63, 86, 63, 101, 96, 89, 3, 63, 64, 101, 63, 56, 96, 89, 89, 32, 89]","[735.0, 70]",34
88,AAW_ARB_20070116.0018_5_LDC0710_00z5,waMyaBtaMbaMayEspheMdhMaaAspaaAlaBmaBnaBsaMbaEspspcomAspspaaAlaBdhMyaA,"[102, 106, 94, 20, 17, 89, 48, 31, 3, 89, 3, 63, 64, 77, 83, 19, 89, 89, 25, 89, 89, 3, 63, 31, 105]","[455.0, 70]",25
89,AAW_ARB_20070116.0018_5_LDC0710_00z6,yaBayMaaEdaMlaAspraMtaBbaMteeEspmaBdaMyaBraMspayBaaEmaEspspcomAsp,"[106, 18, 4, 27, 62, 89, 81, 92, 20, 96, 89, 64, 27, 106, 81, 89, 16, 4, 65, 89, 89, 25, 89]","[453.0, 70]",23
90,AAW_ARB_20070116.0018_5_LDC0710_00z7,maBbaMaaEshMraMteAsplaBraMalBaaEseMteeEspaaAlaBjaBmaBheMwaMraMyaBteeEspspcomAspspwaMyaBtaMmaBtaMayE,"[64, 20, 4, 88, 81, 95, 89, 63, 81, 10, 4, 86, 96, 89, 3, 63, 53, 64, 48, 102, 81, 106, 96, 89, 89, 25, 89, 89, 102, 106, 94, 64, 94, 17]","[736.0, 70]",34
91,AAW_ARB_20070116.0018_5_LDC0710_00z8,shMaaEghBlaBheEspbaMhaMmaBaaEyaBteeEspaaAlaBaeEmaBnaAspaaAlaBkhMaaEsaAspspdotAsp,"[88, 4, 40, 63, 47, 89, 20, 45, 64, 4, 106, 96, 89, 3, 63, 6, 64, 76, 89, 3, 63, 61, 4, 82, 89, 89, 32, 89]","[756.0, 70]",28
92,AAW_ARB_20070116.0018_5_LDC0710_00z9,aaAlaBbaMnaBdaMraMspspdotAspspdotAspspmaBhaMkeBmaBteeEspaaAlaBthMwaMraMteAspaaAlaBtaMyaAsptaBraMaeAseMheMaaE,"[3, 63, 20, 77, 27, 81, 89, 89, 32, 89, 89, 32, 89, 89, 64, 45, 58, 64, 96, 89, 3, 63, 100, 102, 81, 95, 89, 3, 63, 94, 105, 89, 92, 81, 5, 86, 48, 4]","[644.0, 70]",38
93,AAW_ARB_20070116.0039_3_LDC0703_0z16,aaAlaBkaMwaMaaAtaAspaaAlaBahEseMraMaaAalByaBlaByaBteeEspaeAmaBseAspfaMlaBseMtoByaBnaByaByaBnaAspfaMyaA,"[3, 63, 56, 102, 3, 91, 89, 3, 63, 8, 86, 81, 3, 10, 106, 63, 106, 96, 89, 5, 64, 85, 89, 37, 63, 86, 101, 106, 77, 106, 106, 76, 89, 37, 105]","[852.0, 70]",35
94,AAW_ARB_20070116.0039_3_LDC0703_0z17,shMmaBaaElaAspaaAlaBkaMtoBaaEayAspbaMzaEayBmaEspaaAnaBheMmaBaaEspkeBaaEnaBaaE,"[88, 64, 4, 62, 89, 3, 63, 56, 101, 4, 15, 89, 20, 108, 16, 65, 89, 3, 77, 48, 64, 4, 89, 58, 4, 77, 4]","[404.0, 70]",27
95,AAW_ARB_20070116.0039_3_LDC0703_0z18,yaBkaMtaMraMbaMaaEnaAspmaBnaAspaaAlaBseMyaBaaEjaAspaaAlaBhaMdaMwaMdaMyaAspspdotAsp,"[106, 56, 94, 81, 20, 4, 76, 89, 64, 76, 89, 3, 63, 86, 106, 4, 52, 89, 3, 63, 45, 27, 102, 27, 105, 89, 89, 32, 89]","[449.0, 70]",29
96,AAW_ARB_20070116.0039_3_LDC0703_00z2,ayBlaBeeEspaaAseMtaMayMdaMaaAdaMsptaBaaEmaEsplaBaeEyaBteeEspmaBwaMaaAjaBheMteeE,"[16, 63, 34, 89, 3, 86, 94, 18, 27, 3, 27, 89, 92, 4, 65, 89, 63, 6, 106, 96, 89, 64, 102, 3, 53, 48, 96]","[453.0, 70]",27
97,AAW_ARB_20070116.0039_7_LDC0710_00z1,waMaeAkeBdaMsphaMmaBaaEdaMspaaAlaBraMkaMbaEspspcomAspspaaAlaBmaBtaMhaMdaMthA,"[102, 5, 58, 27, 89, 45, 64, 4, 27, 89, 3, 63, 81, 56, 19, 89, 89, 25, 89, 89, 3, 63, 64, 94, 45, 27, 97]","[662.0, 70]",27
98,AAW_ARB_20070116.0124_2_LDC0008_00z3,spspspspmaBshMraMwaMayAsptaBtoBwaMyaBraMspmaBtoBaaEraMspaaAlaBmaBlaBkeEspayBbaMdaM,"[89, 89, 89, 89, 64, 88, 81, 102, 15, 89, 92, 101, 102, 106, 81, 89, 64, 101, 4, 81, 89, 3, 63, 64, 63, 59, 89, 16, 20, 27]","[822.0, 70]",30
99,AAW_ARB_20070116.0124_2_LDC0008_00z4,aaAlaBayMzaEyaBzaEspfaMyaAspjaBdaMteAspspcomAspspyaBayMtaMbaMraM,"[3, 63, 18, 108, 106, 108, 89, 37, 105, 89, 53, 27, 95, 89, 89, 25, 89, 89, 106, 18, 94, 20, 81]","[634.0, 70]",23
100,AAW_ARB_20070116.0124_2_LDC0008_00z5,baMmaBthMaaEbaMteeEspmaBtoBaaEraMspjaBdaMyaBdaMspseMyaBjaBseMdaMspaaAlaBnaBheMdeBteeE,"[20, 64, 100, 4, 20, 96, 89, 64, 101, 4, 81, 89, 53, 27, 106, 27, 89, 86, 106, 53, 86, 27, 89, 3, 63, 77, 48, 30, 96]","[790.0, 70]",29
101,AAW_ARB_20070116.0124_2_LDC0008_00z6,aaAlaBhaMdeBaaEraMyaBteeEspaaAlaBtaMyaAsptaBayMyaBshMheMaaEspaaAlaBmaBmaBlaBkeBteeEspayBlaBeeE,"[3, 63, 45, 30, 4, 81, 106, 96, 89, 3, 63, 94, 105, 89, 92, 18, 106, 88, 48, 4, 89, 3, 63, 64, 64, 63, 58, 96, 89, 16, 63, 34]","[757.0, 70]",32
102,AAW_ARB_20070116.0124_2_LDC0008_00z7,naBhaMwaMspyaBlaByaBkaAspbaMmaBkeBaaEnaBtaMheMaaEspaaAlaBtaMyaAsptaBtaMbaMwaMaeAheMaaE,"[77, 45, 102, 89, 106, 63, 106, 55, 89, 20, 64, 58, 4, 77, 94, 48, 4, 89, 3, 63, 94, 105, 89, 92, 94, 20, 102, 5, 48, 4]","[757.0, 70]",30
103,AAW_ARB_20070116.0124_2_LDC0008_00z8,ayBlaBeeEspaaAlaBmaBseMtaMwaMeeAspaaAlaBayMaaElaBmaByaAspspcomAspspkeBmaBaaE,"[16, 63, 34, 89, 3, 63, 64, 86, 94, 102, 33, 89, 3, 63, 18, 4, 63, 64, 105, 89, 89, 25, 89, 89, 58, 64, 4]","[676.0, 70]",27
104,AAW_ARB_20070116.0124_2_LDC0008_00z9,yaBayMtaMbaMraMspmaBtoBaaEraMaaAspraMaaAalBdaMaaAspbaMaaElaBmaBnaBtoBkaMteeEspmaBnaA,"[106, 18, 94, 20, 81, 89, 64, 101, 4, 81, 3, 89, 81, 3, 10, 27, 3, 89, 20, 4, 63, 64, 77, 101, 56, 96, 89, 64, 76]","[851.0, 70]",29
105,AAW_ARB_20070116.0124_6_LDC0701_0z15,faMyaAspaaAlaBayMaaElaBmaEspspcomAspsptaBshMaaEraMkeAspfaMyaA,"[37, 105, 89, 3, 63, 18, 4, 63, 65, 89, 89, 25, 89, 89, 92, 88, 4, 81, 57, 89, 37, 105]","[465.0, 70]",22
106,AAW_ARB_20070116.0124_6_LDC0701_0z16,heMdhMaaAspaaAlaBlaBkaMaaEhhAspwaMtaBkaMdaMmaEspaaAhaMdaMthAsptaBkaMnaByaBaaEtaBheMaaE,"[48, 31, 3, 89, 3, 63, 63, 56, 4, 49, 89, 102, 92, 56, 27, 65, 89, 3, 45, 27, 97, 89, 92, 56, 77, 106, 4, 92, 48, 4]","[750.0, 70]",30
107,AAW_ARB_20070116.0124_6_LDC0701_0z17,aaAlaBtaMyaAspaaAseMtaMkhMdaMmaBtaMheMaaEspfaMyaAspbaMnaBaaEhhAspwaMtaBtoBwaMyaBraM,"[3, 63, 94, 105, 89, 3, 86, 94, 61, 27, 64, 94, 48, 4, 89, 37, 105, 89, 20, 77, 4, 49, 89, 102, 92, 101, 102, 106, 81]","[926.0, 70]",29
108,AAW_ARB_20070116.0124_6_LDC0701_0z18,aaAlaBayMdaMyaBdaMspmaBnaAspaaAlaBmaBtoBaaEraMaaAtaAspaaAlaBdaMwaMlaByaBteeEspfaMyaA,"[3, 63, 18, 27, 106, 27, 89, 64, 76, 89, 3, 63, 64, 101, 4, 81, 3, 91, 89, 3, 63, 27, 102, 63, 106, 96, 89, 37, 105]","[1021.0, 70]",29
109,AAW_ARB_20070116.0124_6_LDC0701_0z19,maBkhMtaMlaBfaEspdaMwaMlaAspaaAlaBayMaaElaBmaEspspspspspspdotAsp,"[64, 61, 94, 63, 36, 89, 27, 102, 62, 89, 3, 63, 18, 4, 63, 65, 89, 89, 89, 89, 89, 89, 32, 89]","[418.0, 70]",24
110,AAW_ARB_20070116.0124_6_LDC0701_00z2,maBnaAspaaAlaBmaBtoBaaEraMaaAtaAspaaAlaBseMayMwaMdaMyaBteeEspspcomAspspayBraMdeBtaEspaaAmaBseA,"[64, 76, 89, 3, 63, 64, 101, 4, 81, 3, 91, 89, 3, 63, 86, 18, 102, 27, 106, 96, 89, 89, 25, 89, 89, 16, 81, 30, 93, 89, 3, 64, 85]","[1224.0, 70]",33
111,AAW_ARB_20070116.0124_6_LDC0701_00z3,n1An2AspshMraMkeBteeEspbaMraMyaBtoBaaEnaByaBteeEspmaBtaMkhMsaMsaMteeEspfaMyaAsptaBtoBwaMyaBraM,"[67, 68, 89, 88, 81, 58, 96, 89, 20, 81, 106, 101, 4, 77, 106, 96, 89, 64, 94, 61, 83, 83, 96, 89, 37, 105, 89, 92, 101, 102, 106, 81]","[1116.0, 70]",32
112,AAW_ARB_20070116.0124_6_LDC0701_00z4,waMtaBwaMseMayMteeEspwaMbaMnaBaaEhhAspaaAlaBmaBtoBaaEraMaaAtaAspspcomAspspaaAhaMdaMthA,"[102, 92, 102, 86, 18, 96, 89, 102, 20, 77, 4, 49, 89, 3, 63, 64, 101, 4, 81, 3, 91, 89, 89, 25, 89, 89, 3, 45, 27, 97]","[999.0, 70]",30
113,AAW_ARB_20070116.0124_6_LDC0701_00z5,taBkaMnaByaBaaEtaBheMaaEspwaMamAlaByaBaaEtaBheMaaEspfaMyaAspaaAlaBayMmaBlaAspaaAmaBaaEmaE,"[92, 56, 77, 106, 4, 92, 48, 4, 89, 102, 13, 63, 106, 4, 92, 48, 4, 89, 37, 105, 89, 3, 63, 18, 64, 62, 89, 3, 64, 4, 65]","[743.0, 70]",31
114,AAW_ARB_20070116.0124_6_LDC0701_00z6,heMyaBalMteeEspaaAlaBtoByaBraMaaAnaAspaaAlaBmaBdaMnaByaAspaaAlaBseMayMwaMdaMyaAspspcomAsp,"[48, 106, 12, 96, 89, 3, 63, 101, 106, 81, 3, 76, 89, 3, 63, 64, 27, 77, 105, 89, 3, 63, 86, 18, 102, 27, 105, 89, 89, 25, 89]","[952.0, 70]",31
115,AAW_ARB_20070116.0124_6_LDC0701_00z7,waMbaMhaMdeBwaMraMspaaAkeBthMraMspmaBnaAspn3An0An0AspmaBnaA,"[102, 20, 45, 30, 102, 81, 89, 3, 58, 100, 81, 89, 64, 76, 89, 69, 66, 66, 89, 64, 76]","[794.0, 70]",21
116,AAW_ARB_20070116.0124_6_LDC0701_00z8,raMjaBaaElaAspaaAlaBaaEayBmaBaaElaAspaaAlaBseMayMwaMdaMyaByaBnaAspaaAlaBmaBseMtaMthMmaBraMyaBnaAspfaMyaA,"[81, 53, 4, 62, 89, 3, 63, 4, 16, 64, 4, 62, 89, 3, 63, 86, 18, 102, 27, 106, 106, 76, 89, 3, 63, 64, 86, 94, 100, 64, 81, 106, 76, 89, 37, 105]","[1169.0, 70]",36
